                                                                                                    EMPRESA DE REPARTOS A DOMICILIO TP S. A.
                                                                                                         ENTREGAS POR REPARTIDORES
===========================================================================================================================================================================================================================================
                                                                                                                            TOTAL DE         MONTO TOTAL          DESCUENTO         DESCUENTOS            PAGO AL              TOTAL
DNI          NOMBRE                                       VEHICULO                 DISTRITO                                  PLATOS          POR PLATOS          POR PLATOS        POR CLIENTES          REPARTIDOR           INGRESADO
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
23889863     Arroyo Tomasiche Natalia                     MOTOCICLETA              Miraflores                                 40             1008.80               80.05                0.00              100.88              827.87
95482222     Asmad Chavez Adria                           BICICLETA                Jesus Maria                                 0                0.00                0.00                0.00                0.00                0.00
29844212     Astete Chang Guida                           BICICLETA                San Martin De Porres                      200             5650.30              367.11                0.00              282.52             5000.68
25186258     Avila Martel Jaime Manuel                    MOTOCICLETA              La Molina                                 126             3930.80              375.26               99.61              393.08             3062.85
78894665     Bravo Cortes Janet Flor                      BICICLETA                Santa Anita                               310             9753.60              877.55             1396.11              487.68             6992.26
24363330     Camacho Pairazaman Ydali Lucero              MOTOCICLETA              La Victoria                                96             2720.10              255.35                0.00              272.01             2192.74
32579168     Contreras Chang Johana Cinthia               MOTOCICLETA              Chaclacayo                                  0                0.00                0.00                0.00                0.00                0.00
62397617     Cortes Cortez Raul Alex                      MOTOCICLETA              Villa El Salvador                         533            15727.10             1147.79              151.78             1572.71            12854.82
12141513     Cueva Fuentes Cinthia Delia                  MOTOCICLETA              Chorrillos                                188             6079.70              525.80              650.43              607.97             4295.50
62800798     Del Castillo Annie Avila                     BICICLETA                Magdalena Del Mar                         191             6020.60              637.89              407.74              301.03             4673.94
22237434     Diaz Moya Elia Annie                         MOTOCICLETA              Santiago De Surco                         200             5865.90              410.36              494.44              586.59             4374.52
64102186     Diaz Tang Enrique                            BICICLETA                La Victoria                                 0                0.00                0.00                0.00                0.00                0.00
