======================================================================================================================================================
                                                  REPORTE DE PRUEBA PARA PLATOS
======================================================================================================================================================
     CODIGO         DESCRIPCION                                            PRECIO         CATEGORIA                         DESCUENTO
------------------------------------------------------------------------------------------------------------------------------------------------------
     73428          TEQUENOS                                               19.50          APERITIVO                           0.00
     11283          2_BOLAS_DE_HELADO                                      14.90          POSTRES                            17.72
     39584          COCA_COLA_1_LITRO                                      15.50          BEBIDAS                            13.44
     77894          ENSALADA_SENSACION_GRANDE_CON_POLLO                    32.90          ENSALADAS                           5.74
     53518          PAPAS_FRITAS                                           15.90          ADICIONAL                           0.00
     15665          1/2_POLLO_PARRILLERO_ORIGINAL_ENCAMOTADO               50.90          BRASA                              18.94
     77606          ENSALADA_HONEY_GRANDE_SOLO                             24.90          ENSALADAS                          19.98
     77549          ENSALADA_COCIDA_REGULAR                                18.90          ENSALADAS                          19.71
     90766          ANTICUCHO_DE_CORAZON                                   25.90          ADICIONAL                           0.00
     39747          COCA_COLA_1/2_LITRO                                     7.00          BEBIDAS                             9.03
     77419          ENSALADA_DELICIA_GRANDE_CON_POLLO                      31.90          ENSALADAS                           0.00
     39431          CERVEZA_CUSQUENA                                       12.50          BEBIDAS                            11.05
     39738          CERVEZA_HEINEKEN                                       18.90          BEBIDAS                             0.00
     15283          1/4_POLLO_PARRILLERO_ORIGINAL-_ARROCERO                33.50          BRASA                               0.00
     15365          1/4_POLLO_BBQ/HOT_ANTICUCHO                            44.90          BRASA                               5.28
     55338          SANGUCHE_BRASA                                         22.90          SANGUCHE                            9.46
     39442          LIMONADA_1_LITRO                                       21.90          BEBIDAS                            11.88
     77691          ENSALADA_SENSACION_MEDIANA_CON_POLLO                   23.90          ENSALADAS                           0.00
     39896          VINO_FINA_RESERVA_TINTO                               128.90          BEBIDAS                             0.00
     15153          PIQUEOS_MOLLEJITAS                                     18.90          PIQUEO                             19.04
     77487          ENSALADA_CESARS_GRANDE_SOLO                            24.90          ENSALADAS                           9.72
     11871          LOMO_A_LA_PARRILLA                                     54.90          PARRILLA                           11.86
     39851          CASILLERO_DEL_DIABLO_BLANCO                            73.90          BEBIDAS                            16.73
     31644          CHICHARRON_DE_POLLO_AL_PLATO                           33.90          ESPECIALES                          0.00
     15950          1/4_POLLO_PARRILLERO_ORIGINAL_ANTICUCHO                43.90          BRASA                               8.90
     15724          1/4_POLLO_ENCAMOTADO                                   31.50          BRASA                               0.00
     53265          ANTICUCHO                                              12.90          ENTRADA                             0.00
     39265          TABERNERO_GRAN_TINTO                                   49.90          BEBIDAS                             8.70
     53939          TEQUENO                                                 4.90          ADICIONAL                           0.00
     39536          SPRITE_1_LITRO                                         15.50          BEBIDAS                             0.00
     77156          ENSALADA_COCIDA_GRANDE                                 22.90          ENSALADAS                          13.52
     15319          1/2_POLLO_PARRILLERO_ORIGINAL_PAPAS_ENSALADA           47.90          BRASA                               0.00
     15404          PIQUEOS_BROCHETA                                       17.90          PIQUEO                              0.00
     39955          CASILLERO_DEL_DIABLO_TINTO                             73.90          BEBIDAS                            14.83
     15297          1/2_POLLO_BBQ/HOT_ENCAMOTADO                           51.90          BRASA                               0.00
     15488          PIQUEOS_CHORIZOS_COCKTAIL                              16.90          PIQUEO                             16.67
     15608          PIQUEOS_CHICHARRON_DE_POLLO                            27.90          PIQUEO                              0.00
     15378          1/4_POLLO_ARROCERO                                     33.50          BRASA                               0.00
     39137          CERVEZA_PILSEN                                         12.00          BEBIDAS                             0.00
     11692          PARRILLA_PARA_DOS                                      89.90          PARRILLA                           17.36
     15578          1/4_POLLO_A_LO_BRAVO                                   33.50          BRASA                               0.00
     11621          CHEESECAKE_DE_MARACUYA                                 15.90          POSTRES                            11.30
     53377          PLATANO                                                 3.90          ADICIONAL                           0.00
     39141          CHICHA_1_LITRO                                         21.90          BEBIDAS                             6.80
     77690          ENSALADA_CESARS_GRANDE_CON_POLLO                       32.90          ENSALADAS                           0.00
     15272          1/2_POLLO_PARRILLERO_ORIGINAL_ANTICUCHO                59.90          BRASA                               7.45
     15864          1/4_POLLO_PARRILLERO_ORIGINAL_PAPAS_ENSALADA           32.50          BRASA                              16.73
     77381          ENSALADA_HONEY_GRANDE_CON_POLLO                        32.90          ENSALADAS                           0.00
     90365          MOLLEGITAS_A_LA_PARRILLA                               25.90          ENTRADA                             0.00
     15136          1/2_POLLO_BBQ/HOT_ANTICUCHO                            60.50          BRASA                               5.45
     15142          1/2_POLLO_BBQ/HOT_A_LO_BRAVO                           52.90          BRASA                               7.47
     15392          PIQUEOS_ANTICUCHO                                      18.90          PIQUEO                              0.00
     77214          ENSALADA_FRESCA_GRANDE                                 22.90          ENSALADAS                           0.00
     15116          1/2_POLLO_ENCAMOTADO                                   49.90          BRASA                               9.18
     15510          1/4_POLLO_PARRILLERO_ORIGINAL_ENCAMOTADO               35.90          BRASA                              14.80
     15326          1/4_POLLO_PARRILLERO_ORIGINAL_A_LO_BRAVO               36.90          BRASA                              18.31
     15479          1/2_POLLO_PARRILLERO_ORIGINAL_A_LO_BRAVO               51.90          BRASA                               0.00
     15921          1/4_POLLO_PAPAS_ENSALADA                               29.50          BRASA                              16.09
     11620          CHEESECAKE_DE_FRESA                                    15.90          POSTRES                             0.00
     15419          1/4_POLLO_BBQ/HOT_A_LO_BRAVO                           37.90          BRASA                               0.00
     77910          ENSALADA_DELICIA_MEDIANA_CON_POLLO                     22.90          ENSALADAS                           0.00
     55330          SANGUCHE_PARRILLERO                                    24.90          SANGUCHE                            6.30
     73500          CHORIZOS_COCKTAIL                                      12.90          APERITIVO                           0.00
